"","...1","Time","No3","O2","Q","WT","WL","PH","EL","date"
"88",339354,2017-02-14 14:32:00,10.27,NA,5.9,4.986667,10.70688,8.239583,953.25,2017-02-14
"89",339355,2017-02-14 14:42:00,10.26628,NA,5.9,4.984583,10.71104,8.236667,953.375,2017-02-14
"90",339356,2017-02-14 14:52:00,10.26778,NA,5.9,4.97875,10.70917,8.23375,953.9583,2017-02-14
"91",339357,2017-02-14 15:02:00,10.26875,NA,5.91,4.969167,10.71417,8.23,954.4583,2017-02-14
"92",339358,2017-02-14 15:12:00,10.26675,NA,5.9,4.955417,10.71167,8.22625,955.5417,2017-02-14
"93",339359,2017-02-14 15:22:00,10.26375,NA,5.9,4.9375,10.71146,8.2225,955.6667,2017-02-14
"94",339360,2017-02-14 15:32:00,10.26243,NA,5.9,4.915,10.70781,8.21875,956.2083,2017-02-14
"95",339361,2017-02-14 15:42:00,10.26226,NA,5.89,4.89,10.70396,8.214583,956.5,2017-02-14
"96",339362,2017-02-14 15:52:00,10.26217,NA,5.89,4.8625,10.69833,8.210833,957.5417,2017-02-14
"97",339363,2017-02-14 16:02:00,10.26253,NA,5.88,4.831667,10.69604,8.207083,957.625,2017-02-14
"98",339364,2017-02-14 16:12:00,10.26206,NA,5.87,4.797083,10.68708,8.202917,958.3333,2017-02-14
"99",339365,2017-02-14 16:22:00,10.26146,NA,5.86,4.760833,10.68167,8.199167,959.125,2017-02-14
"100",339366,2017-02-14 16:32:00,10.25988,NA,5.86,4.722917,10.67604,8.195,958.75,2017-02-14
"101",339367,2017-02-14 16:42:00,10.26042,NA,5.85,4.684167,10.67115,8.19125,958.5417,2017-02-14
"102",339368,2017-02-14 16:52:00,10.2586,NA,5.85,4.645,10.67167,8.1875,958.4583,2017-02-14
"103",339369,2017-02-14 17:02:00,10.25649,NA,5.84,4.605417,10.6626,8.184167,958.0417,2017-02-14
"104",339370,2017-02-14 17:12:00,10.25848,NA,5.84,4.56625,10.66083,8.180417,958.3333,2017-02-14
"105",339371,2017-02-14 17:22:00,10.25969,NA,5.83,4.527917,10.6576,8.177083,958.5833,2017-02-14
"106",339372,2017-02-14 17:32:00,10.25948,NA,5.83,4.490417,10.65781,8.17375,958.625,2017-02-14
"107",339373,2017-02-14 17:42:00,10.2596,NA,5.84,4.454167,10.6626,8.170833,958.2917,2017-02-14
"108",339374,2017-02-14 17:52:00,10.25917,NA,5.85,4.42,10.66812,8.1675,957.1667,2017-02-14
"109",339375,2017-02-14 18:02:00,10.2621,NA,5.85,4.387083,10.67427,8.164583,957,2017-02-14
"110",339376,2017-02-14 18:12:00,10.26259,NA,5.86,4.355417,10.6799,8.162083,956.625,2017-02-14
"111",339377,2017-02-14 18:22:00,10.26348,NA,5.86,4.324583,10.67979,8.159583,956.5417,2017-02-14
"112",339378,2017-02-14 18:32:00,10.2675,NA,5.87,4.295,10.68271,8.1575,956.4167,2017-02-14
"113",339379,2017-02-14 18:42:00,10.26933,NA,5.87,4.2675,10.68792,8.155417,955.7917,2017-02-14
"114",339380,2017-02-14 18:52:00,10.27177,NA,5.88,4.2425,10.69135,8.15375,955.3333,2017-02-14
"115",339381,2017-02-14 19:02:00,10.27544,NA,5.88,4.220417,10.69385,8.1525,955.6667,2017-02-14
"116",339382,2017-02-14 19:12:00,10.27562,NA,5.88,4.200417,10.69,8.151667,954.5,2017-02-14
"117",339383,2017-02-14 19:22:00,10.27722,NA,5.88,4.181667,10.69198,8.150833,954.125,2017-02-14
"118",339384,2017-02-14 19:32:00,10.28082,NA,5.88,4.164583,10.69125,8.150417,954.4583,2017-02-14
"119",339385,2017-02-14 19:42:00,10.28237,NA,5.88,4.14875,10.69063,8.15,954.2083,2017-02-14
"120",339386,2017-02-14 19:52:00,10.28564,NA,5.88,4.135,10.69302,8.15,953.2917,2017-02-14
"121",339387,2017-02-14 20:02:00,10.28593,NA,5.88,4.124167,10.69208,8.150417,952.0833,2017-02-14
"122",339388,2017-02-14 20:12:00,10.28802,NA,5.88,4.115417,10.69667,8.150833,951.4583,2017-02-14
