"","...1","Time","No3","O2","Q","WT","WL","PH","EL","date"
"115",339813,2017-02-17 19:02:00,10.22711,NA,5.66,6.906667,10.51927,8.132083,947.9583,2017-02-17
"116",339814,2017-02-17 19:12:00,10.2272,NA,5.66,6.893333,10.51823,8.1325,949.1667,2017-02-17
"117",339815,2017-02-17 19:22:00,10.22724,NA,5.66,6.880417,10.51562,8.132917,950.25,2017-02-17
"118",339816,2017-02-17 19:32:00,10.2273,NA,5.65,6.869167,10.51135,8.133333,951.1667,2017-02-17
"119",339817,2017-02-17 19:42:00,10.22755,NA,5.65,6.859583,10.51177,8.134167,952.4583,2017-02-17
"120",339818,2017-02-17 19:52:00,10.2276,NA,5.65,6.850417,10.51167,8.134167,953.5,2017-02-17
"121",339819,2017-02-17 20:02:00,10.22767,NA,5.65,6.841667,10.51177,8.134583,954.375,2017-02-17
"122",339820,2017-02-17 20:12:00,10.22794,NA,5.66,6.83375,10.51542,8.135417,955.5417,2017-02-17
"123",339821,2017-02-17 20:22:00,10.22837,NA,5.66,6.827083,10.51917,8.13625,955.6667,2017-02-17
"124",339822,2017-02-17 20:32:00,10.22843,NA,5.66,6.820417,10.51958,8.136667,955.625,2017-02-17
"125",339823,2017-02-17 20:42:00,10.22837,NA,5.66,6.814583,10.51969,8.137083,955.875,2017-02-17
"126",339824,2017-02-17 20:52:00,10.22832,NA,5.66,6.808333,10.51969,8.137917,955.5,2017-02-17
"127",339825,2017-02-17 21:02:00,10.22864,NA,5.67,6.80125,10.52344,8.138333,954.9583,2017-02-17
"128",339826,2017-02-17 21:12:00,10.22857,NA,5.67,6.795,10.52344,8.13875,954.9167,2017-02-17
"129",339827,2017-02-17 21:22:00,10.22854,NA,5.67,6.78875,10.52354,8.139167,955.1667,2017-02-17
"130",339828,2017-02-17 21:32:00,10.22868,NA,5.67,6.781667,10.52594,8.139583,956.0417,2017-02-17
"131",339829,2017-02-17 21:42:00,10.22845,NA,5.67,6.774583,10.52406,8.14,956.375,2017-02-17
"132",339830,2017-02-17 21:52:00,10.22839,NA,5.67,6.7675,10.52437,8.140417,957.5417,2017-02-17
"133",339831,2017-02-17 22:02:00,10.22831,NA,5.67,6.760417,10.52437,8.140833,958.4583,2017-02-17
"134",339832,2017-02-17 22:12:00,10.22833,NA,5.66,6.752917,10.52281,8.140833,959.0417,2017-02-17
"135",339833,2017-02-17 22:22:00,10.22836,NA,5.67,6.745,10.52469,8.14125,960.7083,2017-02-17
"136",339834,2017-02-17 22:32:00,10.2286,NA,5.67,6.737083,10.52656,8.142083,962.125,2017-02-17
"137",339835,2017-02-17 22:42:00,10.22908,NA,5.67,6.72875,10.53031,8.1425,963.2083,2017-02-17
"138",339836,2017-02-17 22:52:00,10.22911,NA,5.67,6.720417,10.53052,8.142917,965.5,2017-02-17
"139",339837,2017-02-17 23:02:00,10.22916,NA,5.67,6.712083,10.53073,8.14375,965.375,2017-02-17
"140",339838,2017-02-17 23:12:00,10.22957,NA,5.68,6.702917,10.53458,8.144167,966.3333,2017-02-17
"141",339839,2017-02-17 23:22:00,10.22958,NA,5.68,6.694583,10.53448,8.144583,966.7083,2017-02-17
"142",339840,2017-02-17 23:32:00,10.22961,NA,5.68,6.68625,10.53438,8.144583,967.125,2017-02-17
"143",339841,2017-02-17 23:42:00,10.22981,NA,5.68,6.677917,10.53646,8.145,967.4167,2017-02-17
"144",339842,2017-02-17 23:52:00,10.22964,NA,5.68,6.67,10.53479,8.145417,966.5,2017-02-17
"145",339843,2017-02-18 00:02:00,10.22945,NA,5.68,6.661667,10.53313,8.145417,966.5833,2017-02-18
"146",339844,2017-02-18 00:12:00,10.22909,NA,5.67,6.65375,10.52958,8.145833,966.5833,2017-02-18
"147",339845,2017-02-18 00:22:00,10.2289,NA,5.67,6.645417,10.52583,8.145833,965.2083,2017-02-18
"148",339846,2017-02-18 00:32:00,10.22895,NA,5.67,6.6375,10.52583,8.145833,963.9167,2017-02-18
"149",339847,2017-02-18 00:42:00,10.22899,NA,5.67,6.629583,10.52604,8.14625,963.75,2017-02-18
"150",339848,2017-02-18 00:52:00,10.22923,NA,5.67,6.622083,10.52781,8.146667,963.0833,2017-02-18
"151",339849,2017-02-18 01:02:00,10.22929,NA,5.67,6.614167,10.52823,8.147083,964.8333,2017-02-18
"152",339850,2017-02-18 01:12:00,10.22935,NA,5.67,6.607083,10.52844,8.1475,964.625,2017-02-18
"153",339851,2017-02-18 01:22:00,10.22959,NA,5.67,6.599167,10.53052,8.147917,964.3333,2017-02-18
"154",339852,2017-02-18 01:32:00,10.2296,NA,5.67,6.592083,10.53031,8.14875,964.2917,2017-02-18
"155",339853,2017-02-18 01:42:00,10.2299,NA,5.68,6.585417,10.53208,8.14875,964.625,2017-02-18
"156",339854,2017-02-18 01:52:00,10.23013,NA,5.68,6.579583,10.53375,8.149167,964.7083,2017-02-18
"157",339855,2017-02-18 02:02:00,10.23039,NA,5.68,6.574167,10.53562,8.149583,965.25,2017-02-18
"158",339856,2017-02-18 02:12:00,10.23059,NA,5.68,6.56875,10.53781,8.149583,966.2083,2017-02-18
"159",339857,2017-02-18 02:22:00,10.23064,NA,5.68,6.563333,10.53802,8.149583,968.5833,2017-02-18
"160",339858,2017-02-18 02:32:00,10.23022,NA,5.68,6.5575,10.53406,8.149583,969.5833,2017-02-18
"161",339859,2017-02-18 02:42:00,10.23025,NA,5.68,6.5525,10.53385,8.149583,968.75,2017-02-18
"162",339860,2017-02-18 02:52:00,10.23028,NA,5.68,6.5475,10.53375,8.149583,968.2083,2017-02-18
"163",339861,2017-02-18 03:02:00,10.23026,NA,5.68,6.54375,10.53365,8.149583,967.375,2017-02-18
"164",339862,2017-02-18 03:12:00,10.23009,NA,5.68,6.539583,10.53187,8.149583,967.75,2017-02-18
"165",339863,2017-02-18 03:22:00,10.23019,NA,5.68,6.535417,10.53208,8.149583,968.1667,2017-02-18
"166",339864,2017-02-18 03:32:00,10.23006,NA,5.67,6.53,10.53042,8.149583,967.1667,2017-02-18
"167",339865,2017-02-18 03:42:00,10.22991,NA,5.67,6.524167,10.52885,8.149583,965.2917,2017-02-18
"168",339866,2017-02-18 03:52:00,10.23023,NA,5.67,6.517917,10.53094,8.149583,963.9583,2017-02-18
"169",339867,2017-02-18 04:02:00,10.2305,NA,5.68,6.51125,10.53281,8.149583,962,2017-02-18
"170",339868,2017-02-18 04:12:00,10.23062,NA,5.68,6.503333,10.5324,8.149583,961.2917,2017-02-18
"171",339869,2017-02-18 04:22:00,10.23069,NA,5.68,6.495417,10.5325,8.149583,961,2017-02-18
"172",339870,2017-02-18 04:32:00,10.23119,NA,5.68,6.486667,10.53656,8.149583,961.7917,2017-02-18
"173",339871,2017-02-18 04:42:00,10.23108,NA,5.68,6.477083,10.53479,8.149167,963.25,2017-02-18
"174",339872,2017-02-18 04:52:00,10.23109,NA,5.68,6.468333,10.5351,8.149167,963.4583,2017-02-18
"175",339873,2017-02-18 05:02:00,10.23117,NA,5.68,6.459583,10.53521,8.149583,963.2083,2017-02-18
"176",339874,2017-02-18 05:12:00,10.23118,NA,5.68,6.452083,10.535,8.15,962.625,2017-02-18
"177",339875,2017-02-18 05:22:00,10.23097,NA,5.68,6.445833,10.53281,8.150833,962.375,2017-02-18
"178",339876,2017-02-18 05:32:00,10.23123,NA,5.68,6.442083,10.53479,8.151667,962.625,2017-02-18
"179",339877,2017-02-18 05:42:00,10.23127,NA,5.68,6.439583,10.53458,8.153333,963.375,2017-02-18
"180",339878,2017-02-18 05:52:00,10.23109,NA,5.68,6.438333,10.53292,8.155,963.4583,2017-02-18
"181",339879,2017-02-18 06:02:00,10.23093,NA,5.67,6.438333,10.53094,8.157083,962.7083,2017-02-18
"182",339880,2017-02-18 06:12:00,10.2312,NA,5.68,6.44,10.53292,8.159167,961.375,2017-02-18
"183",339881,2017-02-18 06:22:00,10.23132,NA,5.68,6.442083,10.53271,8.161667,960.1667,2017-02-18
"184",339882,2017-02-18 06:32:00,10.23121,NA,5.67,6.445417,10.53063,8.164167,958.875,2017-02-18
"185",339883,2017-02-18 06:42:00,10.23128,NA,5.67,6.450417,10.53073,8.167083,957.2917,2017-02-18
"186",339884,2017-02-18 06:52:00,10.23144,NA,5.67,6.455833,10.53073,8.169583,956.1667,2017-02-18
"187",339885,2017-02-18 07:02:00,10.23133,NA,5.67,6.461667,10.52917,8.172083,955.375,2017-02-18
"188",339886,2017-02-18 07:12:00,10.23143,NA,5.67,6.467083,10.52927,8.175,953.9167,2017-02-18
"189",339887,2017-02-18 07:22:00,10.23126,NA,5.67,6.4725,10.52729,8.177083,952.7083,2017-02-18
"190",339888,2017-02-18 07:32:00,10.23132,NA,5.67,6.477917,10.52719,8.18,951.5417,2017-02-18
"191",339889,2017-02-18 07:42:00,10.23133,NA,5.67,6.485,10.52729,8.1825,951.4167,2017-02-18
"192",339890,2017-02-18 07:52:00,10.23157,NA,5.67,6.49375,10.52917,8.185,950.5833,2017-02-18
"193",339891,2017-02-18 08:02:00,10.23161,NA,5.67,6.50375,10.52937,8.188333,950.125,2017-02-18
"194",339892,2017-02-18 08:12:00,10.23137,NA,5.67,6.515417,10.5275,8.191667,949.2083,2017-02-18
"195",339893,2017-02-18 08:22:00,10.23134,NA,5.67,6.529583,10.5274,8.194583,947.6667,2017-02-18
"196",339894,2017-02-18 08:32:00,10.23151,NA,5.67,6.545833,10.52917,8.197917,947.0417,2017-02-18
"197",339895,2017-02-18 08:42:00,10.2315,NA,5.67,6.5625,10.53125,8.20125,945.7917,2017-02-18
"198",339896,2017-02-18 08:52:00,10.23125,NA,5.68,6.581667,10.53385,8.205,944.9167,2017-02-18
"199",339897,2017-02-18 09:02:00,10.23123,NA,5.68,6.602083,10.53354,8.208333,943.4167,2017-02-18
"200",339898,2017-02-18 09:12:00,10.23129,NA,5.68,6.624167,10.53583,8.211667,943.125,2017-02-18
"201",339899,2017-02-18 09:22:00,10.23132,NA,5.68,6.646667,10.53708,8.215417,941.6667,2017-02-18
"202",339900,2017-02-18 09:32:00,10.23112,NA,5.68,6.6675,10.53792,8.217917,941.0417,2017-02-18
"203",339901,2017-02-18 09:42:00,10.23136,NA,5.69,6.6875,10.54479,8.220833,939.625,2017-02-18
